date;day;month;year;survey;length;ptot;X;Y;long;lat;surveyF;id_newF;log_length;yearF;jd;mo;jd_s;survey_name
31/5/2018;31;5;2018;3;80;1;348097.1579;7682693.403;55.539;-20.95;3;183;4.382026635;2018;151;5;-0.428990552;2017-2019
5/6/2017;5;6;2017;3;80;0;348097.1579;7682693.403;55.539;-20.95;3;183;4.382026635;2017;156;6;-0.368630999;2017-2019
7/6/2009;7;6;2009;2;90;0;348097.1579;7682693.403;55.539;-20.95;2;183;4.49980967;2009;158;6;-0.344487177;2009-2010
3/6/2017;3;6;2017;3;80;0;352773.387;7683100.721;55.584;-20.9467;3;184;4.382026635;2017;154;6;-0.39277482;2017-2019
09/6/2019;9;6;2019;3;80;0;352773.387;7683100.721;55.584;-20.9467;3;184;4.382026635;2019;160;6;-0.320343356;2017-2019
22/1/1998;22;1;1998;1;60;0;352773.387;7683100.721;55.584;-20.9467;1;184;4.094344562;1998;22;1;-1.986267034;1997-2000
6/6/2017;6;6;2017;3;80;2;330325.6188;7683348.268;55.36818726;-20.94253582;3;185;4.382026635;2017;157;6;-0.356559088;2017-2019
18/6/2019;18;6;2019;3;80;1;330325.6188;7683348.268;55.36818726;-20.94253582;3;185;4.382026635;2019;169;6;-0.211696159;2017-2019
29/5/2017;29;5;2017;3;80;0;330325.6188;7683348.268;55.36818726;-20.94253582;3;185;4.382026635;2017;149;5;-0.453134374;2017-2019
5/6/2018;5;6;2018;3;80;1;330325.6188;7683348.268;55.36818726;-20.94253582;3;185;4.382026635;2018;156;6;-0.368630999;2017-2019
2/12/2017;2;12;2017;3;80;1;330325.6188;7683348.268;55.36818726;-20.94253582;3;185;4.382026635;2017;336;12;1.80431293;2017-2019
8/8/2000;8;8;2000;1;105;1;342004.7298;7683588.846;55.4805;-20.9414;1;186;4.65396035;2000;221;8;0.416043198;1997-2000
27/12/1997;27;12;1997;1;120;1;342004.7298;7683588.846;55.4805;-20.9414;1;186;4.787491743;1997;361;12;2.106110698;1997-2000
14/6/2017;14;6;2017;3;80;1;342004.7298;7683588.846;55.4805;-20.9414;3;186;4.382026635;2017;165;6;-0.259983802;2017-2019
13/6/2019;13;6;2019;3;80;2;342004.7298;7683588.846;55.4805;-20.9414;3;186;4.382026635;2019;164;6;-0.272055713;2017-2019
29/5/2017;29;5;2017;3;80;1;342004.7298;7683588.846;55.4805;-20.9414;3;186;4.382026635;2017;149;5;-0.453134374;2017-2019
10/12/2017;10;12;2017;3;80;1;342004.7298;7683588.846;55.4805;-20.9414;3;186;4.382026635;2017;344;12;1.900888216;2017-2019
18/12/1997;18;12;1997;1;120;0;333405.6223;7684390.822;55.3979;-20.9334;1;188;4.787491743;1997;352;12;1.997463501;1997-2000
27/5/2017;27;5;2017;3;80;0;333405.6223;7684390.822;55.3979;-20.9334;3;188;4.382026635;2017;147;5;-0.477278195;2017-2019
20/6/2019;20;6;2019;3;80;0;333405.6223;7684390.822;55.3979;-20.9334;3;188;4.382026635;2019;171;6;-0.187552338;2017-2019
02/6/2019;2;6;2019;3;80;2;356580;7684670;55.62073307;-20.93282451;3;189;4.382026635;2019;153;6;-0.404846731;2017-2019
5/6/2018;5;6;2018;3;80;0;356580;7684670;55.62073307;-20.93282451;3;189;4.382026635;2018;156;6;-0.368630999;2017-2019
12/6/2017;12;6;2017;3;80;1;356580;7684670;55.62073307;-20.93282451;3;189;4.382026635;2017;163;6;-0.284127624;2017-2019
30/11/2017;30;11;2017;3;80;2;356580;7684670;55.62073307;-20.93282451;3;189;4.382026635;2017;334;11;1.780169108;2017-2019
15/6/2017;15;6;2017;3;80;0;339066.5272;7684011.386;55.45228914;-20.93732949;3;190;4.382026635;2017;166;6;-0.247911892;2017-2019
23/5/2017;23;5;2017;3;80;1;336639.6432;7685266.233;55.42907437;-20.92578209;3;191;4.382026635;2017;143;5;-0.525565838;2017-2019
23/5/2019;23;5;2019;3;80;1;340486;7685394;55.46606379;-20.92496433;3;192;4.382026635;2019;143;5;-0.525565838;2017-2019
3/6/2017;3;6;2017;3;80;2;340486;7685394;55.46606379;-20.92496433;3;192;4.382026635;2017;154;6;-0.39277482;2017-2019
5/7/2009;5;7;2009;2;120;1;340486;7685394;55.46606379;-20.92496433;2;192;4.787491743;2009;186;7;-0.006473677;2009-2010
22/7/1999;22;7;1999;1;120;1;331832.2538;7685692.547;55.3829;-20.9215;1;193;4.787491743;1999;203;7;0.198748805;1997-2000
4/6/2017;4;6;2017;3;80;0;331832.2538;7685692.547;55.3829;-20.9215;3;193;4.382026635;2017;155;6;-0.380702909;2017-2019
17/8/1998;17;8;1998;1;180;2;331832.2538;7685692.547;55.3829;-20.9215;1;193;5.192956851;1998;229;8;0.512618483;1997-2000
25/11/1997;25;11;1997;1;120;1;331832.2538;7685692.547;55.3829;-20.9215;1;193;4.787491743;1997;329;11;1.719809555;1997-2000
7/7/2000;7;7;2000;1;120;2;331832.2538;7685692.547;55.3829;-20.9215;1;193;4.787491743;2000;189;7;0.029742055;1997-2000
5/6/2017;5;6;2017;3;80;1;331832.2538;7685692.547;55.3829;-20.9215;3;193;4.382026635;2017;156;6;-0.368630999;2017-2019
11/6/2017;11;6;2017;3;80;2;330989.5783;7687754.427;55.375;-20.9028;3;196;4.382026635;2017;162;6;-0.296199534;2017-2019
15/5/1999;15;5;1999;1;120;1;330989.5783;7687754.427;55.375;-20.9028;1;196;4.787491743;1999;135;5;-0.622141124;1997-2000
7/7/2000;7;7;2000;1;120;1;330989.5783;7687754.427;55.375;-20.9028;1;196;4.787491743;2000;189;7;0.029742055;1997-2000
10/6/2017;10;6;2017;3;80;0;330989.5783;7687754.427;55.375;-20.9028;3;196;4.382026635;2017;161;6;-0.308271445;2017-2019
21/8/1998;21;8;1998;1;120;0;330989.5783;7687754.427;55.375;-20.9028;1;196;4.787491743;1998;233;8;0.560906126;1997-2000
13/12/1997;13;12;1997;1;120;1;330989.5783;7687754.427;55.375;-20.9028;1;196;4.787491743;1997;347;12;1.937103948;1997-2000
