X;Y;REGION
355067.5;7634812;1
355064.9;7634816.5;1
355060.2;7634819.2;1
355058.2;7634822;1
355048.6;7634836.3;1
355034.5;7634855.9;1
355024.1;7634867.6;1
355004.6;7634892.2;1
354998.1;7634906.2;1
354986.6;7634921.9;1
354981.9;7634933.2;1
354988.1;7634944.7;1
354988.1;7634954.1;1
354988.1;7634959.6;1
354970.1;7634960.9;1
354963.3;7634957.4;1
354957.2;7634961.8;1
354952.6;7634968.1;1
354941;7634987.3;1
354933.8;7634993.5;1
354931.2;7634996.5;1
354929.4;7635000.1;1
354930.7;7635003.5;1
354933.9;7635012.1;1
354930.4;7635012.9;1
354926.1;7635012.9;1
354915.5;7635024.4;1
354910;7635032.1;1
354908.1;7635037.4;1
354906.6;7635045.1;1
354904.4;7635048.6;1
354898.7;7635055.4;1
354898;7635060.6;1
354898.8;7635066.3;1
354902.5;7635073.6;1
354900.4;7635077.3;1
354895;7635082.6;1
354890.2;7635088.7;1
354877.9;7635109.7;1
354873.7;7635119.8;1
354859.3;7635138.7;1
354854.6;7635143.1;1
354843.6;7635151.2;1
354839.2;7635156.4;1
354835.5;7635163.9;1
354832.6;7635178.1;1
354823.5;7635199.6;1
354818.4;7635204.7;1
354809;7635210.3;1
354805;7635214.3;1
354795;7635218.3;1
354775;7635231;1
354765.2;7635238.2;1
354754.4;7635237.7;1
354749.6;7635240.2;1
354741.9;7635243;1
354730.1;7635245.5;1
354728.1;7635247.7;1
354719.7;7635253;1
354709.7;7635257.4;1
354694.8;7635268.3;1
354685.9;7635288.3;1
354680.4;7635307.2;1
354639.4;7635316.1;1
354639.1;7635316.2;1
354633.1;7635315.2;1
354628.5;7635306;1
354613.7;7635298.7;1
354585.4;7635301.8;1
354577;7635306.2;1
354570.6;7635304.2;1
354563.7;7635307.7;1
354552.1;7635301.8;1
354541.9;7635301.5;1
354539;7635296.5;1
354534.1;7635298.6;1
354520.6;7635290.6;1
354516.5;7635289.3;1
354508.3;7635293.5;1
354502.3;7635299.1;1
354482.3;7635299.7;1
354459.7;7635296.7;1
354448.8;7635301.2;1
354439.4;7635301.7;1
354426.3;7635299.8;1
354415.4;7635297.9;1
354395.7;7635308.5;1
354386.3;7635316.7;1
354363;7635334.8;1
354302.2;7635384.7;1
354295.5;7635394.5;1
354279.6;7635446.6;1
354275.9;7635455.2;1
354249.6;7635444.6;1
354240.1;7635450.8;1
354233.8;7635462.5;1
354227.8;7635452.6;1
354211.2;7635456.8;1
354191.2;7635462.1;1
354144.5;7635475.8;1
354140.5;7635477;1
354134.9;7635476.3;1
354130.1;7635475.2;1
354120.4;7635475.5;1
354114.6;7635479.4;1
354110.4;7635487.2;1
354106.2;7635487.7;1
354100.7;7635484.2;1
354097.6;7635483.7;1
354094.3;7635487.4;1
354089.2;7635490.7;1
354075.5;7635478.9;1
354068.6;7635475;1
354063.9;7635477.2;1
354061.8;7635481.5;1
354058.1;7635485.7;1
354050.7;7635480.1;1
354044.9;7635481.4;1
354043.4;7635488.8;1
354040.3;7635493;1
354038.1;7635484.9;1
354034.2;7635482.9;1
354029;7635484;1
354021.9;7635488;1
354018.9;7635490.8;1
354016.8;7635496;1
354016.2;7635502.8;1
354012.9;7635506.5;1
354003.2;7635498.5;1
353998.1;7635496.6;1
353996.7;7635503.3;1
353996.3;7635511;1
